Longitude,Latitude,Time,X,Y,Z,Speed
2.6667,7.3333,20.142,0.53177,-0.27642,0.085099,1.4526
18,6.3333,20.207,0.52492,-0.26715,0.085651,1.4526
1.3333,20,20.269,0.50577,-0.24172,0.093629,1.4526
5.6667,23.667,20.331,0.49137,-0.21976,0.11011,1.4526
13.333,20.667,20.393,0.50181,-0.2281,0.10917,1.3684
7.6667,1,20.456,0.51663,-0.24281,0.095816,1.3684
11.333,15,20.519,0.52151,-0.24668,0.088607,1.3684
16,16,20.58,0.5381,-0.24697,0.075496,1.3684
1.3333,6.6667,20.643,0.55129,-0.25571,0.068443,1.3684
23.667,10.667,20.706,0.55494,-0.2591,0.065246,1.6421
23,21.667,20.769,0.56651,-0.25245,0.053017,1.6421
2.3333,8.3333,20.83,0.56265,-0.24701,0.053513,1.6421
5,13.333,20.893,0.55934,-0.2495,0.062206,1.6421
0.66667,21,20.956,0.54502,-0.2522,0.072718,1.6421
16,12,21.027,0.56584,-0.26655,0.063222,1.3053
19,22.333,21.088,0.57467,-0.2668,0.057985,1.3053
20.333,18.333,21.151,0.57303,-0.25751,0.054586,1.3053
6,2.3333,21.213,0.56758,-0.25549,0.055404,1.3053
26,26.333,21.275,0.57262,-0.26278,0.057312,1.3053
13,15.333,21.338,0.57721,-0.26518,0.058418,1.4947
1.6667,5.6667,21.4,0.58015,-0.26385,0.056517,1.4947
5,2.6667,21.462,0.56434,-0.2546,0.058381,1.4947
9.3333,2,21.525,0.55443,-0.24891,0.06053,1.4947
23.667,1,21.587,0.5595,-0.25221,0.05829,1.4947
1.3333,9,21.651,0.56508,-0.25095,0.053183,1.4947
9.6667,15,21.714,0.56137,-0.25105,0.050239,0.88421
17.333,22.667,21.777,0.55905,-0.24823,0.048361,0.88421
22.333,17,21.841,0.55336,-0.24902,0.05227,0.88421
1.3333,16,21.904,0.54793,-0.24922,0.056332,0.88421
21.333,5.6667,21.966,0.54753,-0.24792,0.056948,0.88421
1.6667,7,22.028,0.56108,-0.25421,0.049765,0.88421
8,17.667,22.091,0.58187,-0.26567,0.040101,0.92632
7.3333,9,22.154,0.58601,-0.26796,0.040378,0.92632
24.667,14,22.217,0.58097,-0.26363,0.040852,0.92632
16.333,3.3333,22.282,0.57294,-0.25547,0.040453,0.92632
13.667,12.333,22.343,0.57332,-0.25619,0.036409,0.92632
19.667,26.667,22.406,0.59285,-0.26603,0.027666,0.92632
3,10.667,22.469,0.60666,-0.26943,0.022538,0.77895
23.667,1.6667,22.533,0.60794,-0.26782,0.020807,0.77895
14.333,8,22.595,0.60534,-0.25985,0.020752,0.77895
0.33333,15,22.656,0.60332,-0.25606,0.020278,0.77895
4.6667,20,22.717,0.60014,-0.25487,0.021526,0.77895
7,8.6667,22.779,0.59241,-0.24868,0.025791,0.77895
1.3333,13.333,22.84,0.58907,-0.25189,0.028,1.1368
18.333,17,22.906,0.58178,-0.2532,0.033453,1.1368
1,20.333,22.968,0.54395,-0.27215,0.041386,1.1368
13.333,18.667,23.03,0.49091,-0.28341,0.049703,1.1368
13,3.6667,23.098,0.42849,-0.28368,0.058091,1.1368
7.6667,24.333,23.161,0.3528,-0.30407,0.08064,1.1368
16,10.333,23.223,0.28608,-0.33641,0.12122,0.98947
7.6667,14.333,23.285,0.25394,-0.34897,0.13813,0.98947
24.667,26.667,23.348,0.24819,-0.34564,0.14679,0.98947
0.33333,25.667,23.412,0.26075,-0.35537,0.1503,0.98947
15.333,22,23.474,0.26592,-0.35332,0.15203,0.98947
10,11.333,23.536,0.2848,-0.35644,0.15364,1.1368
10,22,23.599,0.30555,-0.35461,0.15729,1.1368
0.66667,12,23.663,0.33939,-0.35651,0.14692,1.1368
18.333,10.333,23.727,0.37001,-0.35244,0.13436,1.1368
15,19,23.789,0.43336,-0.33361,0.10731,1.1368
20.667,6.6667,23.851,0.48408,-0.32302,0.08816,0.90526
21.333,5,23.913,0.52548,-0.31063,0.077396,0.90526
6.6667,6.6667,23.975,0.56618,-0.30051,0.071179,0.90526
5.3333,7.6667,24.038,0.60064,-0.29252,0.06383,0.90526
10,1.3333,24.101,0.62753,-0.28025,0.06075,0.90526
19.333,15,24.163,0.65936,-0.27413,0.054152,0.73684
3.6667,25.333,24.226,0.66933,-0.26817,0.051602,0.73684
11.667,21.333,24.288,0.68655,-0.25273,0.044444,0.73684
0.66667,6.6667,24.351,0.69493,-0.24627,0.042275,0.73684
2,18.667,24.413,0.69894,-0.2419,0.041285,0.73684
19,0.66667,24.475,0.70014,-0.23308,0.038541,0.86316
21.667,20.667,24.537,0.69564,-0.2203,0.037731,0.86316
24.333,9,24.599,0.6855,-0.20931,0.038564,0.86316
24.333,8.6667,24.661,0.68562,-0.21729,0.037811,0.86316
17,20.667,24.723,0.70597,-0.24533,0.030071,0.86316
3.6667,10.333,24.786,0.71883,-0.26283,0.026897,0.73684
1.6667,6,24.849,0.7004,-0.25355,0.028392,0.73684
21,15.333,24.912,0.6755,-0.23544,0.034734,0.73684
20,6,24.974,0.65615,-0.22604,0.04141,0.73684
17,4.6667,25.037,0.64209,-0.22905,0.043911,0.73684
19.667,10.667,25.099,0.64057,-0.23205,0.046412,1.1158
5.6667,0.66667,25.162,0.65937,-0.25308,0.03523,1.1158
21.333,11.333,25.235,0.66347,-0.25474,0.029854,1.1158
26,0.33333,25.296,0.64164,-0.22979,0.037755,1.1158
11.333,1.3333,25.358,0.64029,-0.23434,0.037604,1.1158
6.6667,5.3333,25.421,0.65908,-0.25759,0.033189,1.1158
13,5.6667,25.482,0.65527,-0.24827,0.037132,1.0737
18,16.333,25.557,0.60849,-0.19658,0.040164,1.0737
23,6.3333,25.619,0.62333,-0.20884,0.033885,1.0737
25.333,15.333,25.68,0.63582,-0.22949,0.03581,1.0737
3.6667,15,25.744,0.63965,-0.23299,0.038742,1.0737
18.667,9.3333,25.808,0.64387,-0.23394,0.036131,1.0737
2.3333,26.667,25.871,0.64212,-0.22726,0.033241,0.92632
3,4,25.933,0.62896,-0.20681,0.041506,0.92632
3.6667,23,25.997,0.61416,-0.19761,0.047149,0.92632
14,21,26.06,0.63843,-0.22987,0.04553,0.92632
13,14,26.123,0.65144,-0.24269,0.04607,0.92632
12,0.66667,26.185,0.62644,-0.21358,0.051988,0.92632
21.333,7.3333,26.248,0.63102,-0.22107,0.047884,0.86316
14.333,26.667,26.31,0.64558,-0.23779,0.045483,0.86316
18,19,26.372,0.64247,-0.23378,0.045597,0.86316
13,6,26.434,0.62664,-0.22867,0.046675,0.86316
9,17.333,26.497,0.62714,-0.22356,0.047753,0.86316
7,3.3333,26.559,0.64331,-0.23901,0.048026,0.86316
26,15,26.621,0.64133,-0.23641,0.04941,1.3053
7.3333,21.333,26.685,0.6292,-0.22296,0.046413,1.2842
21.333,11.333,26.747,0.63741,-0.23604,0.044322,1.2842
13.333,2.3333,26.809,0.647,-0.24687,0.045239,1.2842
8.6667,15.667,26.871,0.63905,-0.23431,0.04623,1.2842
